turn_id,speaker,負面高強度,負面中強度,中性/過渡,正面低強度,正面高強度,total_negative,total_positive
52,Gemini,3,0,4,3,0,3,3
53,User,0,0,0,0,0,0,0
54,Gemini,1,1,1,3,0,2,3
55,User,1,0,0,0,0,1,0
56,Gemini,3,0,0,3,0,3,3
57,User,3,0,0,1,0,3,1
58,User,1,0,0,0,1,1,1
59,Gemini,11,1,0,2,1,12,3
60,User,1,0,0,0,0,1,0
61,Gemini,1,0,0,0,0,1,0
62,User,4,0,1,0,1,4,1
63,Gemini,5,0,5,2,11,5,13
64,User,0,0,0,0,0,0,0
65,Gemini,6,0,2,0,1,6,1
66,User,0,0,0,1,0,0,1
67,User,6,0,0,0,1,6,1
68,Gemini,14,0,0,1,0,14,1
69,User,1,0,0,0,0,1,0
70,Gemini,4,1,0,1,0,5,1
71,User,1,0,0,1,0,1,1
72,Gemini,4,0,0,5,1,4,6
73,User,0,0,0,0,0,0,0
74,Gemini,5,1,3,6,0,6,6
75,User,0,0,0,0,0,0,0
76,Gemini,0,0,1,2,0,0,2
77,User,0,0,0,0,0,0,0
78,Gemini,1,0,2,0,1,1,1
79,User,4,0,0,0,0,4,0
80,Gemini,8,0,0,3,0,8,3
81,User,0,0,0,0,0,0,0
82,Gemini,5,1,2,2,0,6,2
83,User,7,0,1,0,1,7,1
84,User,0,0,0,0,0,0,0
85,Gemini,9,0,3,1,2,9,3
86,User,0,0,0,0,0,0,0
87,Gemini,3,0,3,3,0,3,3
88,User,1,0,0,0,0,1,0
89,Gemini,3,0,0,0,1,3,1
90,User,0,0,0,0,0,0,0
91,Gemini,3,0,1,3,0,3,3
92,User,1,0,0,0,0,1,0
93,Gemini,2,0,0,2,0,2,2
94,User,1,0,0,0,0,1,0
95,Gemini,6,0,5,2,1,6,3
96,User,0,0,0,0,0,0,0
97,Gemini,0,0,2,0,0,0,0
98,User,3,0,0,0,1,3,1
99,Gemini,1,0,1,4,3,1,7
100,User,0,0,0,0,0,0,0
101,Gemini,1,0,1,0,0,1,0
102,User,0,0,0,0,0,0,0
103,User,0,0,0,0,0,0,0
104,Gemini,1,1,0,0,0,2,0
105,User,0,0,1,0,0,0,0
106,Gemini,6,1,2,0,0,7,0
107,User,0,0,0,0,0,0,0
108,Gemini,1,0,3,0,0,1,0
109,User,0,0,0,0,0,0,0
110,Gemini,0,0,2,1,1,0,2
111,User,1,0,0,0,0,1,0
112,Gemini,4,0,0,2,1,4,3
113,User,0,0,0,0,0,0,0
114,Gemini,0,0,0,0,0,0,0
115,User,0,0,1,0,0,0,0
116,Gemini,11,0,1,1,1,11,2
117,User,0,0,1,1,0,0,1
118,User,0,0,0,0,1,0,1
119,Gemini,0,0,0,0,0,0,0
120,User,1,0,1,0,0,1,0
121,User,3,0,0,0,0,3,0
122,Gemini,4,0,0,0,0,4,0
123,User,1,0,0,0,0,1,0
124,User,0,0,0,0,0,0,0
125,Gemini,4,0,0,1,0,4,1
126,Gemini,0,0,0,0,0,0,0
127,User,3,0,0,0,1,3,1
128,Gemini,3,1,2,1,0,4,1
129,User,0,0,0,0,0,0,0
130,Gemini,1,0,1,1,1,1,2
131,User,0,0,0,0,0,0,0
132,Gemini,2,0,2,2,1,2,3
133,User,1,0,0,0,0,1,0
134,Gemini,6,1,2,3,1,7,4
135,User,0,0,0,1,0,0,1
136,Gemini,0,0,1,1,0,0,1
137,User,1,0,0,0,0,1,0
138,Gemini,3,0,1,2,1,3,3
139,User,0,0,0,0,0,0,0
140,Gemini,0,0,0,2,0,0,2
141,User,0,0,0,0,0,0,0
142,Gemini,1,0,1,1,0,1,1
143,User,0,1,1,0,0,1,0
144,Gemini,3,6,3,3,0,9,3
145,User,0,0,0,0,0,0,0
146,Gemini,1,1,2,4,0,2,4
147,User,0,0,0,0,0,0,0
148,Gemini,2,1,1,2,1,3,3
149,User,1,0,0,0,0,1,0
150,Gemini,3,1,2,3,1,4,4
151,User,1,0,0,0,0,1,0
152,Gemini,0,0,2,0,0,0,0
153,User,0,0,0,0,1,0,1
154,Gemini,0,0,1,0,1,0,1
155,User,0,0,0,0,0,0,0
156,Gemini,3,0,0,0,0,3,0
157,User,0,0,0,2,0,0,2
158,User,0,0,1,1,0,0,1
159,Gemini,2,1,0,2,0,3,2
160,User,0,0,0,0,0,0,0
161,Gemini,3,0,2,0,2,3,2
162,User,3,1,0,0,0,4,0
163,User,0,0,0,0,0,0,0
164,Gemini,2,0,1,4,1,2,5
165,User,0,0,0,2,1,0,3
166,Gemini,0,0,1,3,1,0,4
167,User,0,0,0,0,1,0,1
168,User,0,0,0,2,1,0,3
169,Gemini,0,0,2,0,1,0,1
170,User,0,0,0,0,0,0,0
171,User,0,0,0,0,0,0,0
172,Gemini,0,0,1,1,1,0,2
173,User,0,0,0,0,1,0,1
174,Gemini,4,1,6,2,1,5,3
175,User,0,0,0,0,0,0,0
176,Gemini,0,0,0,0,2,0,2
177,User,0,0,0,0,0,0,0
178,Gemini,0,0,0,1,1,0,2
179,User,0,0,0,0,2,0,2
180,Gemini,0,0,1,1,2,0,3
181,User,0,0,0,0,0,0,0
182,Gemini,0,0,1,2,0,0,2
183,User,0,0,0,2,0,0,2
184,Gemini,0,0,1,1,2,0,3
185,Gemini,2,0,1,1,2,2,3
186,User,0,0,0,0,0,0,0
187,Gemini,3,0,1,2,1,3,3
188,User,0,0,2,1,3,0,4
189,User,0,0,0,0,0,0,0
190,Gemini,1,0,1,0,2,1,2
191,Gemini,0,0,1,1,1,0,2
192,User,0,0,0,0,0,0,0
193,Gemini,7,0,1,0,1,7,1
194,User,1,0,0,0,0,1,0
195,User,1,0,0,0,1,1,1
196,Gemini,0,0,0,0,0,0,0
197,User,0,0,0,0,0,0,0
198,Gemini,5,1,2,0,0,6,0
199,User,0,0,0,0,0,0,0
200,Gemini,2,0,0,0,1,2,1
201,User,2,0,1,0,1,2,1
202,User,1,0,0,0,0,1,0
203,Gemini,5,0,0,1,0,5,1
204,User,2,0,0,0,0,2,0
205,Gemini,2,0,0,0,0,2,0
206,User,0,0,0,0,0,0,0
207,Gemini,0,0,0,0,0,0,0
208,Gemini,0,0,0,0,0,0,0
209,User,0,0,0,0,0,0,0
210,Gemini,1,0,0,0,0,1,0
211,User,0,0,0,0,0,0,0
212,User,2,1,0,0,0,3,0
213,Gemini,2,0,0,3,0,2,3
214,User,0,0,0,0,0,0,0
215,Gemini,0,0,0,0,0,0,0
216,User,1,0,0,0,1,1,1
217,Gemini,0,0,0,0,1,0,1
218,User,0,0,0,0,0,0,0
219,Gemini,1,0,0,0,1,1,1
220,User,3,0,0,0,1,3,1
221,Gemini,1,0,0,0,0,1,0
222,User,1,0,0,0,0,1,0
